B11,B12,B2,B3,B4,B5,B6,B8,BSI,BSI_Mean,Clay_Ratio,Iron_Ratio,MNDWI,MNDWI_Variance,NDTI,NDVI,NDVI_Entropy,NDVI_Variance,NDWI,date,cloud_cover,lat,lon,label,actual_date,days_diff,target_date
1172.0,835.0,777.0,1110.0,1230.0,1396.0,1331.0,1494.0,0.0280333831906318,0.0088444342836737,1.4035928143712575,1.583011583011583,-0.0271691493690013,0.0012302770415711,0.1679123069257598,0.0969163030385971,0.6869615912437439,2.9187127605309e-05,-0.1474654377880184,2025-12-25 06:02:44,0.064562,22.937638353552085,70.32007300932959,0,,,
688.0,495.0,752.0,935.0,758.0,798.0,730.0,512.0,0.0671586692333221,-0.0556974075734615,1.38989898989899,,0.1521873027086258,0.046266013018186,0.1631445477599323,-0.1937007904052734,1.735126495361328,0.014164990631498,0.2923289564616448,,,26.447967,88.23284998,1,2021-11-15,0.0007977383333333,2021-11-16
125.0,119.0,475.0,656.0,397.0,423.0,200.0,184.0,-0.1160033866763114,-0.0990000814199447,1.050420168067227,,0.6798975467681885,1.848706917526341e-05,0.0245901639344262,-0.3666093051433563,1.735126495361328,0.0004935650090697,0.5619047619047619,,,25.6539999999999,85.0625189999999,1,2025-02-13,0.0002163803703703,2025-02-13
4108.0,3611.0,2696.0,2834.0,2866.0,3202.0,3607.0,3809.0,0.0347948670387268,0.0285286009311676,1.137635004153974,1.0630563798219586,-0.1835206001996994,0.0002262194555595,0.0643865785723539,0.1412734091281891,1.0986123085021973,0.0001442431135763,-0.146771037181996,2025-12-25 04:30:55,14.806192,28.258023621234194,94.68396337717688,0,,,
1851.0,1005.0,479.0,634.0,518.0,1179.0,2546.0,3232.0,-0.2207236886024475,-0.2122068703174591,1.8417910447761197,1.081419624217119,-0.4897384345531463,0.000103630001778,0.296218487394958,0.7237333059310913,0.9368883371353148,3.33535909860948e-05,-0.6720124159337817,2025-12-23 05:23:02,0.58597,20.812314042334656,79.09847537587991,0,,,
2702.0,1883.0,564.0,788.0,1172.0,1495.0,1815.0,2211.0,0.1652880162000656,0.1788550168275833,1.4349442379182156,2.078014184397163,-0.5484240651130676,0.0004234934469727,0.1786259541984732,0.3071238398551941,1.735126495361328,0.0002571272981347,-0.4744914971657219,2025-12-19 05:50:09,19.769706,33.16852371570199,75.79009559260756,0,,,
1647.0,809.0,134.0,324.0,237.0,724.0,1878.0,2258.0,-0.1188026219606399,-0.1336677521467209,2.0358467243510505,1.7686567164179106,-0.6712328791618347,0.0013227649541666,0.3412052117263843,0.8100200295448303,1.2730283737182615,0.0002817311404099,-0.7490317583268784,2025-12-24 05:45:02,0.004516,14.788955921223897,74.1362059740575,0,,,
1748.0,843.0,520.0,698.0,550.0,1055.0,2310.0,3108.0,-0.2244346886873245,-0.171510636806488,2.073546856465006,1.0576923076923077,-0.4292722940444946,0.0012181585597654,0.3492859899652644,0.6992892026901245,1.735126495361328,0.0005350307593212,-0.6332107199159223,2025-12-20 05:24:49,3.432968,16.014083304072706,78.77401310652671,0,,,
3745.0,2479.0,1088.0,1736.0,2510.0,1501.0,2236.0,4917.0,0.0203915163874626,0.176671028137207,1.5106897942718838,2.306985294117647,-0.366538941860199,0.0392430037144305,0.2034061696658097,0.3240877985954284,2.043191909790039,0.0055330775348806,-0.4781301668420261,2025-12-24 05:40:27,0.681136,31.527858180703262,78.0167234567234,0,,,
94.0,76.0,496.0,708.0,469.0,478.0,249.0,239.0,-0.132511556148529,-0.1338665634393692,1.236842105263158,,0.7655860185623169,1.8890633033347764e-05,0.1058823529411764,-0.3248587548732757,1.522955060005188,0.0002816753832077,0.4952481520591341,,,25.665634,84.909665,1,2025-02-13,0.000216436261574,2025-02-13
3418.0,2506.0,581.0,997.0,1323.0,1860.0,2256.0,2796.0,0.1680216789245605,0.1871691644191742,1.363926576217079,,-0.5483578443527222,0.001537496281549,0.1539500337609723,0.3576110601425171,2.1972246170043945,0.0030278177139069,-0.4742947534932771,,,24.94908,81.506613,1,2025-06-06,0.004223568136574,2025-06-02
1470.0,995.0,397.0,632.0,718.0,1004.0,1792.0,2086.0,-0.0631556436419487,-0.0645753368735313,1.4773869346733668,1.8085642317380357,-0.3986679315567016,0.0014623894541032,0.1926977687626775,0.4878744781017303,2.1972246170043945,0.0028216158495054,-0.5349521707137601,2025-12-19 05:43:04,2.670721,21.1599545620266,75.5300644977961,0,,,
1543.0,1124.0,186.0,298.0,490.0,614.0,760.0,839.0,0.3296272158622741,0.2964799106121063,1.372775800711744,2.634408602150537,-0.6762629151344299,0.0018863624051894,0.1571053618297712,0.2626034617424011,1.5810937881469729,0.0037286522051152,-0.4758135444151275,2025-12-16 05:30:30,0.011201,30.694199837456733,80.03205021165901,0,,,
