B11,B12,B2,B3,B4,B5,B6,B8,BSI,BSI_Mean,Clay_Ratio,Iron_Ratio,MNDWI,MNDWI_Variance,NDTI,NDVI,NDVI_Entropy,NDVI_Variance,NDWI,date,cloud_cover,lat,lon
1605,761,228,414,335,847,2017,2330,-0.13739439845085144,-0.18721480667591095,2.109067017082786,1.469298245614035,-0.5898959636688232,0.00035729760970385865,0.35672020287404904,0.7485928535461426,1.8891592025756836,0.0010491424325813625,-0.6982507288629738,2025-12-21 04:41:23,16.851895,25.783351662951684,91.95304976351352
4862,3462,1018,1550,2262,2809,3364,3936,0.17966550588607788,0.1743418425321579,1.4043905257076834,2.2220039292730847,-0.5165315270423889,0.00033741609037877635,0.16818837097549255,0.2700871229171753,1.4648163318634033,0.0005054908213117196,-0.43492526430915057,2025-12-25 05:13:32,0.000325,19.328879301411714,82.67500895362318
533,373,405,532,483,707,888,1136,-0.20531873404979706,-0.15113061666488647,1.4289544235924934,1.1925925925925926,-0.0009389671613462269,0.005869855787151552,0.17660044150110377,0.4033353924751282,2.043191909790039,0.004484154163284441,-0.36211031175059955,2025-12-25 05:12:36,0.00042,23.279981893847587,81.9808226821752
3166,2077,888,1096,1396,1751,2133,2441,0.15625396370887756,0.13461822271347046,1.5243139142994704,1.572072072072072,-0.4856874644756317,0.00044005825368249104,0.2077055121113866,0.27234819531440735,1.8891592025756836,0.0038812636196836983,-0.38026576194515127,2025-12-25 04:31:09,4.189571,27.06424426310908,94.62538807181718
1306,690,292,570,306,815,2252,2730,-0.30427277088165283,-0.3016343116760254,1.892753623188406,1.047945205479452,-0.3923240900039673,0.00019505390969065672,0.30861723446893785,0.7984189987182617,0.964962899684906,5.305548811800836e-05,-0.6545454545454545,2025-12-16 05:32:58,0.004149,21.215085267870144,78.44838461435181
1504,835,267,437,422,877,1673,1830,-0.04250559210777283,-0.0525655522942543,1.8011976047904192,1.5805243445692885,-0.5497166514396667,0.000516851392053387,0.2860196665241556,0.6252220273017883,2.1972246170043945,0.005945982852930144,-0.6144684605205117,2025-12-21 05:33:37,18.774647,19.688969839301755,78.01125446990554
894,452,614,828,636,1163,2229,2540,-0.346712201833725,-0.3569568991661072,1.9778761061946903,1.0358306188925082,-0.038327526301145554,0.00019605869963858213,0.32838038632986627,0.5994962453842163,1.3107836246490479,0.00019003986937408493,-0.5083135391923991,2025-12-24 04:52:24,0.017144,21.98381087340219,89.06733555519342
114,106,236,379,232,217,96,88,0.03283582255244255,0.050925176590681076,1.0754716981132075,0.9830508474576272,0.5375253558158875,0.005686515623015944,0.03636363636363636,-0.44999998807907104,2.043191909790039,0.00476276295043496,0.6231263383297645,2025-12-19 05:43:10,6.294885,21.09576289552136,74.08687616538153
2103,1264,1182,1216,1134,1459,2172,2564,-0.07289130985736847,-0.09229904413223267,1.6637658227848102,0.9593908629441624,-0.2672491669654846,0.00018581549087475716,0.2491832491832492,0.3866955041885376,2.043191909790039,0.0033746725182699005,-0.3566137566137566,2025-12-24 04:53:03,1.661924,20.333265406137098,86.54171931526196
1860,1289,1036,1080,1072,1487,1652,1588,0.05543556436896324,-0.03152155503630638,1.442979053529868,1.0347490347490347,-0.26530611515045166,0.020736858767684635,0.18132740552556367,0.1939849555492401,1.7351264953613281,0.00035982626757527194,-0.1904047976011994,2025-12-24 05:03:11,0.95715,21.474523512895214,84.99801910118735
1261,575,155,287,142,544,1735,2565,-0.31942760944366455,-0.2669692039489746,2.1930434782608694,0.9161290322580645,-0.6291989684104919,0.0007552989036489303,0.37363834422657954,0.8950868248939514,1.831020474433899,0.00046082317964312044,-0.7987377279102384,2025-12-23 05:26:02,5.67743,9.86115475422336,76.93906044832612
1543,1124,186,298,490,614,760,839,0.32962721586227417,0.2964799106121063,1.3727758007117439,2.6344086021505375,-0.6762629151344299,0.0018863624051894431,0.15710536182977128,0.2626034617424011,1.5810937881469727,0.0037286522051152263,-0.4758135444151275,2025-12-16 05:30:30,0.011201,30.694199837456733,80.03205021165901
1985,1362,540,720,683,1092,2098,2485,-0.06270858645439148,-0.07545547187328339,1.4574155653450807,1.2648148148148148,-0.46765249967575073,0.00027853389400157706,0.18613683896026292,0.568813145160675,1.7351264953613281,0.0015551484631686208,-0.5507020280811232,2025-12-23 05:25:33,18.817191,12.102817031749899,77.21060470818212
1601,974,322,516,545,995,1859,2054,-0.050862450152635574,-0.0745626762509346,1.6437371663244353,1.6925465838509317,-0.5125176906585693,0.00041657389275067617,0.24349514563106797,0.5806079506874084,1.8891592025756836,0.0007713888583182893,-0.598443579766537,2025-12-07 05:50:04,11.614551,32.812203987460386,74.9845073821521
2596,1762,526,722,1054,1357,1688,2193,0.1461768001317978,0.1468256264925003,1.4733257661748014,2.0038022813688214,-0.5647980570793152,0.0005346472360936438,0.1913721890775585,0.35078534483909607,1.6769877672195435,0.0010192947555450378,-0.504631217838765,2025-12-16 05:33:48,3e-05,18.77099576254456,76.87966625142602
60,35,421,623,268,187,98,84,-0.21248500049114227,-0.19117385149002075,1.7142857142857142,0.6365795724465558,0.8243045210838318,0.00013949568429843455,0.2631578947368421,-0.5227272510528564,1.7351264953613281,0.00033521301892250024,0.7623762376237624,2025-12-20 06:02:41,0.607193,23.79833474519151,69.99877969219598
50,26,594,858,346,219,100,97,-0.2713891565799713,-0.2574926018714905,1.9230769230769231,0.5824915824915825,0.8898678421974182,0.00011678207156664812,0.3157894736842105,-0.56207674741745,0.8486855626106262,7.523971673665623e-05,0.7968586387434555,2025-12-25 05:13:32,0.000325,19.30211410819467,82.82777643419158
1477,820,863,874,746,1046,1843,2244,-0.16585366427898407,-0.18304204940795898,1.801219512195122,0.8644264194669756,-0.25648659467697144,0.002216054212592954,0.2860252503265128,0.5010033249855042,1.2730283737182617,0.00010226168503886986,-0.4393842206542656,2025-12-23 05:22:56,0.191263,20.816205000910042,80.96867390396301
1898,976,478,727,540,1284,2447,2922,-0.16478246450424194,-0.1579151153564453,1.944672131147541,1.1297071129707112,-0.44609522819519043,0.0004030738972136621,0.32080723729993044,0.6880415678024292,1.3689223527908325,0.00025170668207320627,-0.6015346670320636,2025-12-25 05:15:52,4.715492,11.353185923132687,79.54946063845115
2081,1290,1632,1688,1506,1850,2824,3260,-0.15390965342521667,-0.15009477734565735,1.6131782945736435,0.9227941176470589,-0.10427168756723404,5.521305642618312e-05,0.2346484722634233,0.36802348494529724,1.4270610809326172,0.00016271663538347525,-0.3177041228779305,2025-12-13 05:21:54,0.104386,25.107836372095264,81.78846521185393
2397,1477,208,552,783,1117,2299,2430,0.09315916150808334,0.04732269048690796,1.6228842247799593,3.764423076923077,-0.6256358027458191,0.008756242067624598,0.23748064016520393,0.5126050710678101,2.1972246170043945,0.021315110355109666,-0.6297786720321932,2025-12-25 06:03:24,0.002407,20.727021779787773,70.89981042991369
2161,1620,325,493,864,1084,1256,1534,0.2387387454509735,0.21969372034072876,1.3339506172839506,2.6584615384615384,-0.6284853219985962,8.706568250513611e-05,0.14308384025390108,0.2793995141983032,1.7351264953613281,0.0002457450705030241,-0.5135668475579674,2025-12-23 05:22:23,1.626899,22.971892839694906,81.17538585897849
1456,722,643,878,654,1048,2044,2525,-0.2004547119140625,-0.19137540459632874,2.0166204986149583,1.0171073094867806,-0.24764353036880493,0.00019459917379696347,0.3370064279155188,0.5885498523712158,1.522955060005188,0.0001602713973939037,-0.48398471936526594,2025-12-24 05:03:12,1.043888,20.962463409519007,84.68831288293865
