B11,B12,B2,B3,B4,B5,B6,B8,BSI,BSI_Mean,Clay_Ratio,MNDWI,MNDWI_Variance,NDTI,NDVI,NDVI_Entropy,NDVI_Variance,NDWI,actual_date,days_diff,lat,lon,target_date
2822.0,2550.0,1202.0,1714.0,2152.0,2329.0,2340.0,2532.0,0.14239779114723206,0.1525105983018875,1.1066666666666667,-0.24426807463169098,0.00026140267411193613,0.05063291139240506,0.08112724125385284,1.002718210220337,5.359528764946485e-05,-0.19265190767781443,2023-02-13,0.0007628389699074074,26.660192,77.950878,2023-02-14
846.0,690.0,650.0,1190.0,1060.0,1024.0,532.0,761.0,0.14923124015331268,0.21037046611309052,1.2260869565217392,0.16895873844623566,0.028767644373131316,0.1015625,-0.1641954928636551,2.043191909790039,0.03870403165311977,0.21988723731419785,2023-02-15,0.0012302511342592592,26.663009,77.966385,2023-02-14
4177.0,4049.0,1714.0,2474.0,3328.0,3346.0,3444.0,3803.0,0.15266472101211548,0.160885751247406,1.0316127438873797,-0.2560517191886902,0.0014554482656637083,0.015560418186238755,0.06661057472229004,1.3107836246490479,9.634623459459091e-05,-0.2117253465031066,2023-02-15,0.001230216886574074,26.683609,78.093335,2023-02-14
3025.0,2309.0,442.0,772.0,1220.0,1497.0,1648.0,2042.0,0.2617030739784241,0.26284465193748474,1.3100909484625378,-0.5933631658554077,0.00028431416786636434,0.13423322084739409,0.2519926428794861,1.6769877672195435,0.0003705360296557054,-0.4513148542999289,2023-04-25,0.0012165761342592593,24.98539879,84.281991086909,2023-04-24
1362.0,1127.0,2038.0,2042.0,1776.0,1747.0,1419.0,1312.0,-0.03267570957541466,-0.019285624846816063,1.2085181898846495,0.19976498186588287,7.686846790429709e-05,0.09441542788268381,-0.15025906264781952,0.964962899684906,5.3090942458212785e-05,0.21765056648777578,2023-05-18,0.0017770467708333332,28.16910197,81.08336904,2023-05-20
1266.0,1104.0,656.0,1294.0,1266.0,1340.0,804.0,856.0,0.25222551822662354,0.2453550398349762,1.1467391304347827,0.010937499813735485,0.0003534050470398091,0.06835443037974684,-0.19321395456790924,1.6769877672195435,0.0003648074932855029,0.20372093023255813,2023-05-23,0.0012231012037037037,27.2837,81.42375302,2023-05-22
1330.0,1182.0,882.0,1499.0,1409.0,1455.0,864.0,991.0,0.1877710372209549,0.1953493058681488,1.125211505922166,0.05973842367529869,0.0002772933382771843,0.0589171974522293,-0.17416666448116302,1.6769877672195435,0.00029821944362920207,0.20401606425702812,2023-05-23,0.0012231012037037037,27.27556301,81.42106502,2023-05-22
2668.0,1990.0,217.0,839.0,1015.0,1694.0,2326.0,1772.0,0.2986600995063782,0.20170827209949493,1.3407035175879396,-0.5215283632278442,0.025135298889896567,0.1455560326320309,0.27161821722984314,2.1972246170043945,0.03706395916836627,-0.35733435465338953,2023-05-23,0.0012231012037037037,27.18936503,81.48582696,2023-05-22
1393.0,1237.0,758.0,1296.0,1215.0,1363.0,923.0,954.0,0.2074074000120163,0.2273867428302765,1.126111560226354,-0.03607289120554924,9.167418652849945e-05,0.05931558935361217,-0.12033195048570633,1.522955060005188,0.00017727620970105063,0.152,2023-05-23,0.0012231012037037037,27.30165403,81.40338499,2023-05-22
1330.0,1182.0,882.0,1499.0,1409.0,1455.0,864.0,991.0,0.1877710372209549,0.1953493058681488,1.125211505922166,0.05973842367529869,0.0002772933382771843,0.0589171974522293,-0.17416666448116302,1.6769877672195435,0.00029821944362920207,0.20401606425702812,2023-05-23,0.0012231012037037037,27.27556301,81.42106502,2023-05-22
1246.0,1122.0,709.0,1255.0,1240.0,1342.0,865.0,920.0,0.20826245844364166,0.21543152630329132,1.1105169340463459,0.003598560579121113,9.197057828084526e-05,0.052364864864864864,-0.14814814925193787,1.8891592025756836,0.0004377197724413547,0.15402298850574714,2023-05-23,0.0012231012037037037,27.35596499,81.38454004,2023-05-22
,,,,,,,,,,,,,,,,,,2023-05-28,0.001223242465277778,26.50495598,82.93817198,2023-05-27
,,,,,,,,,,,,,,,,,,2023-05-28,0.001223242465277778,26.50445902,82.93898402,2023-05-27
,,,,,,,,,,,,,,,,,,2023-05-28,0.001223242465277778,26.50495598,82.93817198,2023-05-27
7778.0,7159.0,2164.0,3516.0,5092.0,5690.0,5796.0,5980.0,0.22489768266677856,0.22322645783424377,1.08646459002654,-0.3773685097694397,3.616010374709846e-06,0.04144071768092656,0.08020231127738953,0.6869615912437439,3.869809546493593e-06,-0.2594776748104465,2023-05-29,0.0013771092592592593,26.39364699,26.39364699,2023-05-28
557.0,513.0,1482.0,1710.0,1322.0,1287.0,801.0,616.0,-0.055066633969545364,-0.056311290711164474,1.0857699805068226,0.5086016654968262,1.2546613095724505e-05,0.041121495327102804,-0.36429309844970703,1.3107836246490479,0.0003018311524935048,0.470335339638865,2023-05-30,0.002216309548611111,26.28382201,83.413791,2023-05-28
629.0,516.0,1126.0,1376.0,1093.0,1110.0,805.0,650.0,-0.015437392517924309,-0.009385482408106327,1.2189922480620154,0.3725685775279999,6.359829026130686e-05,0.09868995633187773,-0.25415948033332825,0.8486855626106262,4.394034954696085e-05,0.3583415597235933,2023-05-30,0.002216309548611111,26.26009,83.42750003,2023-05-28
625.0,540.0,1080.0,1400.0,1063.0,1076.0,777.0,620.0,-0.0035419126506894827,-0.016330305486917496,1.1574074074074074,0.3827160596847534,0.00016345637960749984,0.07296137339055794,-0.2632204294204712,1.522955060005188,0.0001864896787322243,0.38613861386138615,2023-05-30,0.002216309548611111,26.25990702,83.42935796,2023-05-28
374.0,338.0,852.0,1052.0,756.0,759.0,401.0,309.0,-0.013531208969652653,0.017964309081435204,1.106508875739645,0.4754558205604553,0.00010391224682266337,0.05056179775280899,-0.41971829533576965,1.5810937881469727,0.0006109202894024365,0.5459221160911095,2023-05-30,0.0012163095486111112,26.270301,83.706592,2023-05-29
872.0,799.0,812.0,1174.0,1014.0,1044.0,443.0,436.0,0.20357370376586914,0.19269190728664398,1.0913642052565706,0.1476050764322281,0.002951688445745868,0.043686415320167565,-0.39862069487571716,2.1972246170043945,0.017971924973493043,0.4583850931677019,2023-05-30,0.0007835603356481481,25.82478901,84.581514,2023-05-31
399.0,429.0,528.0,945.0,654.0,634.0,168.0,96.0,0.25581395626068115,0.2784685492515564,0.9300699300699301,0.40625,7.068723243492453e-05,-0.036231884057971016,-0.7440000176429749,2.043191909790039,0.002278788728317179,0.8155619596541787,2023-05-30,0.0007835603356481481,25.85141203,84.49539598,2023-05-31
402.0,408.0,633.0,1000.0,693.0,682.0,249.0,170.0,0.1538461595773697,0.17623983323574066,0.9852941176470589,0.4265335202217102,7.378088973326097e-05,-0.007407407407407408,-0.6060255169868469,1.8891592025756836,0.0019390027718834012,0.7094017094017094,2023-05-30,0.0007835603356481481,25.864062,84.49459702,2023-05-31
528.0,483.0,834.0,1242.0,887.0,878.0,447.0,371.0,0.08015266805887222,0.07832033932209015,1.093167701863354,0.4033898413181305,0.00012248099699147593,0.04451038575667656,-0.4101748764514923,1.4270610809326172,0.0006820766552902116,0.5399876007439554,2023-05-30,0.0007835603356481481,25.877048,84.44393604,2023-05-31
664.0,599.0,750.0,1232.0,875.0,883.0,439.0,351.0,0.16590909659862518,0.13234086334705353,1.1085141903171953,0.29957807064056396,0.000404318307935303,0.05146476642913698,-0.4274061918258667,1.5810937881469727,0.0005393676126080512,0.556538218572331,2023-05-30,0.0007835603356481481,25.76894903,84.64371803,2023-05-31
