B11,B12,B2,B3,B4,B5,B6,B8,BSI,BSI_Mean,Clay_Ratio,Iron_Ratio,MNDWI,MNDWI_Variance,NDTI,NDVI,NDVI_Entropy,NDVI_Variance,NDWI,date,cloud_cover,lat,lon,id,dist_to_infra_km
1609.0,882.0,970.0,1168.0,1038.0,1415.0,2362.0,2874.0,-0.1844091862440109,-0.1989134699106216,1.8242630385487528,1.0701030927835051,-0.1588044613599777,0.0004512625657645,0.2918506623845845,0.4693251550197601,1.303092360496521,8.654751005465755e-05,-0.4220682830282038,2026-01-06 05:01:46,0.161675,24.87884179369015,86.79073117520757,6586,0.9089149836786398
2297.0,1563.0,624.0,712.0,800.0,1139.0,1423.0,1656.0,0.1519434601068496,0.1271782666444778,1.4696097248880358,1.2820512820512822,-0.5267530679702759,0.0006167289206345,0.1901554404145077,0.3485341966152191,1.889159202575684,0.0010902351674389,-0.3986486486486486,2026-01-06 05:12:16,9.378423,24.869858640848957,83.359166789871,6587,1.4431933099055596
1732.0,1215.0,728.0,1136.0,1284.0,1770.0,1797.0,1852.0,0.0779127925634384,0.0926956310868263,1.4255144032921812,1.7637362637362637,-0.2078103274106979,0.0358881519518387,0.175432643366135,0.1811224520206451,2.043191909790039,0.0086801038550824,-0.2396251673360107,2026-01-06 05:12:12,4.195954,24.869858640848957,84.15866739273737,6588,0.29356028086924213
1273.0,757.0,949.0,1354.0,1758.0,1937.0,1865.0,2128.0,-0.0075311069376766,0.0406168848276138,1.6816380449141348,1.8524762908324552,0.030833650380373,0.0010019342919533,0.2541871921182266,0.0952135846018791,1.889159202575684,0.0012328511349017,-0.2222860425043078,2026-01-06 05:12:12,4.195954,24.869858640848957,84.16765054557857,6589,1.016433962217844
1978.0,1228.0,222.0,626.0,536.0,1274.0,2683.0,3440.0,-0.1858808249235153,-0.1652541309595108,1.6107491856677525,2.414414414414414,-0.5192012190818787,0.0007996309265867,0.2339363693075483,0.7303823232650757,2.043191909790039,0.0015471566779865,-0.692080668962125,2026-01-06 05:12:12,4.195954,24.869858640848957,84.17663369841976,6590,1.6174742735289345
1863.0,924.0,914.0,1004.0,880.0,1292.0,2787.0,3312.0,-0.212799534201622,-0.2180653810501098,2.0162337662337664,0.962800875273523,-0.2996163368225097,0.0005155364701574,0.3369214208826695,0.580152690410614,1.522955060005188,0.0001804958073693,-0.5347544022242817,2026-01-06 05:01:49,0.82665,24.869858640848957,86.09902840643554,6591,2.095491568513591
3884.0,3205.0,1186.0,1352.0,1706.0,2000.0,2382.0,2836.0,0.1631294190883636,0.1345021277666092,1.2118564742589704,1.4384485666104554,-0.4835752546787262,0.000418139047023,0.0957821977711948,0.2487890869379043,1.522955060005188,0.001190740957776,-0.3543457497612225,2026-01-06 05:01:46,0.161675,24.869858640848957,86.44038821440095,6592,0.5424986317560195
2735.0,2045.0,1060.0,1242.0,1406.0,1637.0,1895.0,2292.0,0.1052982807159423,0.1241733953356742,1.337408312958435,1.326415094339623,-0.3754085898399353,0.0002187080935619,0.1443514644351464,0.2395889610052108,1.5810937881469729,0.0002617806722248,-0.297113752122241,2026-01-06 05:01:46,0.161675,24.869858640848957,86.44937136724215,6593,0.07423146380619902
2336.0,1639.0,770.0,938.0,1042.0,1425.0,2039.0,2110.0,0.0795781388878822,0.0306833833456039,1.4252593044539352,1.3532467532467531,-0.4270006120204925,0.000186485199622,0.1753459119496855,0.3388324975967407,1.889159202575684,0.0018892643783173,-0.384514435695538,2026-01-06 05:01:46,0.161675,24.869858640848957,86.55716920133649,6594,0.2404435293791715
2571.0,1987.0,908.0,1098.0,1088.0,1561.0,2326.0,2884.0,-0.0178499538451433,0.0119336368516087,1.2939104177151484,1.198237885462555,-0.4014717936515808,0.0001276716743003,0.1281263712154453,0.4521651566028595,1.889159202575684,0.0028049771816481,-0.4485183324962331,2026-01-06 05:01:46,0.161675,24.869858640848957,86.56615235417769,6595,0.19981783165618208
