id,shap_B11,shap_B12,shap_B2,shap_B3,shap_B4,shap_B5,shap_B6,shap_B8,shap_BSI,shap_BSI_Mean,shap_Clay_Ratio,shap_Iron_Ratio,shap_MNDWI,shap_MNDWI_Variance,shap_NDTI,shap_NDVI,shap_NDVI_Entropy,shap_NDVI_Variance,shap_NDWI,shap_dist_to_road_km
22,-0.37331855,-0.16029379,0.046725225,0.09446639,0.06638156,-0.23272404,-0.2914918,-0.56355745,-0.09749468,0.14161937,-1.1161532,-0.14346772,0.15935634,-0.36719382,-0.4335181,-0.8331379,-0.27243015,-0.37126496,-0.7081223,0.64524764
23,-0.4552425,-0.17390797,0.1325806,0.097364776,0.12283437,-0.056095712,-0.34735554,-0.25205076,-0.34628165,0.13531499,-1.1266911,-0.32855564,0.13629368,-0.26404685,-0.38649604,-0.7912398,0.23656124,0.35239732,-0.5838759,-0.24485993
24,-0.26713493,-0.23445246,-0.046077836,0.8643253,-0.23710492,0.117198765,-0.28992504,0.32359767,0.3267983,0.06376016,0.7547888,-0.5812384,0.18315397,0.029482879,0.24619153,0.34845346,0.034916166,-0.25166658,-0.095807135,1.1286769
25,-0.3999248,-0.018256932,0.08140109,0.12073941,0.20631042,-0.008601708,-0.31501147,0.13312612,-0.4110747,0.050073206,-0.6671166,-0.22378229,0.10102695,0.0039497176,-0.34724808,-1.0606449,0.12969957,0.34240592,-0.029693322,-1.0882022
26,-0.38055605,-0.0055134324,-0.14027032,-1.2864275,0.0023510945,-0.08606879,-0.48982397,0.109507,-0.3051166,-0.17941295,-1.224849,-0.24389999,-0.0122644715,-0.33938363,-0.3736985,-0.60934144,0.22407995,-0.35571817,-0.7390591,1.3899525
27,-0.37127557,0.05013749,-0.20404468,-1.2671635,0.005351485,-0.13091592,-0.50002265,0.1398159,-0.2655993,-0.1561252,-1.2215397,-0.2382722,-0.25894082,-0.17035672,-0.36683592,-0.6116379,-0.19983497,-0.03806099,-0.74062073,1.3983555
28,0.31541812,0.2947855,0.15005645,-0.8845329,0.13394222,-0.021447351,-0.15027632,0.03202706,-0.3616308,0.11872513,-1.2313393,-0.25563288,0.071406886,0.047409344,-0.37226716,-0.72064775,-0.018710539,0.3517669,0.01129582,-0.10994917
29,-0.5268841,-0.41581747,0.19464913,0.055055987,0.09041515,-0.039563138,-0.43684497,-0.077598706,-0.42634693,-0.027111376,0.018305602,-0.48957607,0.14575282,0.073128276,-0.012814205,-1.3648748,-0.25518093,-0.47404858,-0.019169666,-0.24278414
30,-0.40580532,-0.11349102,0.07415311,-0.0515222,0.18029016,-0.06891385,-0.33494848,-0.44624326,-0.34642327,-0.18013225,-1.1569841,-0.30621085,0.057714403,-0.05812273,-0.38295928,-0.8084683,0.20159572,-0.23101737,-0.7769961,-0.24800129
31,-0.37321106,-0.3613896,0.04717539,0.10220629,0.14049982,-0.01821264,-0.5342841,0.04336335,-0.09167229,-0.21721937,0.11419232,-0.15423475,0.08631134,-0.08156907,0.07912874,-0.65470177,0.23920128,0.3966863,-0.5781371,-0.9166242
32,-0.44583467,-0.3851641,0.2358914,0.0039174557,0.17627913,-0.006386522,-0.40344208,0.463735,-0.07637063,0.10096573,0.1736808,-0.36201108,0.075002745,0.09314616,0.087698095,-0.6115333,0.23012891,0.37705442,-0.3711806,1.4911063
33,-0.24933834,-0.08778849,0.016485196,0.73931557,-0.23855293,0.12773427,-0.5141035,0.3005398,0.08786524,0.014826932,0.82597816,-0.59376687,0.18717815,0.019717537,0.25828475,0.3092777,-0.28636858,0.027267508,-0.05193401,0.5680314
34,-0.40697357,-0.09847012,0.07812232,-1.1394885,0.018755684,-0.11415602,-0.41591275,-0.52008635,-0.33227754,-0.17018823,-1.0974773,-0.26152864,-0.02555104,-0.30221304,-0.32256413,-0.6306171,-0.2506967,-0.3309612,-0.6845004,-1.1608118
35,-0.32003415,-0.424176,0.047473323,0.039362065,0.005141843,-0.092955165,-0.4446642,0.0589145,0.026149353,-0.040917724,-0.16547994,-0.46243978,-0.104076885,-0.53404135,-0.08156425,-0.81604534,-0.015991855,-0.07905368,-0.3946851,0.9538175
36,-0.41932407,-0.03418526,0.058117785,-0.8142412,0.021024758,-0.06916139,-0.34946468,-0.39190504,-0.3036496,-0.18698381,-1.2360104,-0.2185546,-0.05390908,-0.37540913,-0.4076375,-0.736739,-1.2949575e-05,-0.35766685,-0.7849741,0.77901226
37,-0.39127707,-0.37015018,0.14841738,0.046172496,0.12407589,-0.0869907,-0.52942985,0.029291006,-0.057802085,0.12168237,-1.1166221,-0.48464024,-0.09062577,-0.45204926,-0.40285942,-0.8617285,-0.025226075,-0.3239164,-0.6804717,-0.2931669
38,-0.41730005,-0.33110046,0.008201445,0.49831754,-0.09783667,-0.060607437,-0.48979735,-0.03777416,0.06744257,0.014309654,0.19634967,-0.6131966,0.10310139,-0.42988926,-0.0103671895,0.3359524,-0.20914184,-0.35500345,-0.10520276,-0.9871702
39,-0.26579833,-0.31133875,0.09555937,-0.83326274,0.15621635,-0.04962197,-0.18475622,0.44455525,0.005618106,0.018686906,-1.1382891,-0.3657239,-0.2524037,-0.42081502,-0.32080182,-0.72201943,0.004809277,0.3799912,-0.5907117,-0.98836535
40,-0.46046823,-0.39469996,0.05033503,0.0654155,0.061256085,-0.035299327,-0.400986,0.15328908,-0.15035394,0.12398601,-0.10231079,-0.22758484,0.1771044,-0.45073965,-0.02813513,-0.9360246,0.25532082,-0.1733588,-0.06126289,1.6283073
41,0.288059,0.263554,0.03905786,0.27679998,0.2069907,-0.07703474,0.45615065,0.39734444,-0.18937884,-0.0118584605,-1.3249626,-0.19615361,0.06785241,-0.14901108,-0.38619787,0.5870474,0.19918126,0.20605178,0.430262,-1.6095802
42,-0.39126796,-0.38720936,0.013005514,0.07749195,-0.0051010605,-0.041389145,-0.434912,-0.07451733,-0.0561286,-0.03178014,0.0621147,-0.4850819,0.14807065,-0.50889647,0.035480656,-1.1814529,0.008656218,0.58612347,0.0108242035,1.5355242
43,-0.34860963,-0.38017374,0.08289583,0.063942894,0.16254432,-0.23810613,-0.32925797,-0.54847455,-0.11470786,0.089598514,-1.2611707,-0.37510818,-0.030594615,-0.01305894,-0.43607673,-0.72510916,0.032575123,0.36091548,-0.7239051,1.5152142
44,-0.3047636,-0.3624568,0.19769807,0.044896506,0.07343998,-0.08402098,-0.40269423,0.108284816,0.31966355,0.06799375,-0.582168,-0.40699688,-0.32090873,-0.007063246,-0.37801465,-0.71515787,0.22574762,0.38479292,-0.524141,-0.37895346
45,-0.43893856,-0.4160082,0.17283036,0.05124638,0.10955995,-0.072773784,-0.5488104,0.05165993,-0.051133078,-0.012677526,-0.5205157,-0.52272713,0.076248825,-0.44903427,-0.29856923,-0.83770454,-0.007333108,-0.37081543,-0.38395736,-0.33611825
46,0.20293123,0.22134544,0.03510408,0.3340999,0.058274556,0.0007752096,-0.35472706,0.3383548,-0.4216509,0.09542497,-0.23880927,-0.25843233,0.017518621,-0.061725218,-0.08411236,0.66843975,0.21597958,0.25148737,0.3996706,0.053687554
47,-0.43327716,-0.34244567,-0.0026188185,0.44758648,-0.00024578068,-0.21472211,-0.4670465,-0.023224775,0.31642774,-0.03620234,0.05494749,-0.59756154,0.11513342,-0.040051717,-0.0023831245,0.2653207,0.04045553,0.057813358,-0.11307178,-0.9188653
48,-0.46905735,-0.3481098,-0.045750536,0.36889702,0.018119691,-0.22675188,-0.51964587,-0.06931285,-0.48580262,-0.10673387,0.0192008,-0.6040949,0.06087481,-0.3457104,-0.007599352,0.50744706,-0.2979234,-0.051108405,-0.16140182,-0.99104685
49,0.40250716,0.23856772,0.09270197,0.32639533,0.13299853,-0.07868161,0.5136012,0.42884097,-0.34327954,-0.3168449,-1.2643299,-0.14442094,0.118838504,0.20488496,-0.40684775,0.7701528,-0.13149549,-0.19009851,0.52167,0.10264137
50,-0.37804928,0.10908406,0.20753364,-0.7502662,0.16268116,-0.055309966,-0.3624225,0.09320176,-0.08569431,-0.31828833,-1.1927909,-0.33500993,0.112392336,0.04179749,-0.3372003,-0.73290914,0.22076054,0.3561308,0.048008893,-0.9702497
